STT,Route name,Site1,Site2,Site3,NumberError
772,RN319169319170,319169,319170,,84
773,RN319171319172,319171,319172,,23
774,RN319173319267,319173,319267,,64
775,RN319175319176,319175,319176,,65
776,RN319177319178,319177,319178,,73
777,RN319179319180,319179,319180,,65
778,RN319181319182,319181,319182,,56
779,RN319183319184,319183,319184,,57
780,RN319186319187,319186,319187,,71
781,RN319188319190,319188,319190,,81
782,RN319191319192,319191,319192,,3
783,RN319193319197,319193,319197,,44
784,RN319201319211,319201,319211,,13
785,RN319212319213,319212,319213,,61
786,RN319218319219,319218,319219,,18
787,RN319221319225,319221,319225,,44
788,RN319232319233,319232,319233,,61
789,RN319234319235,319234,319235,,99
790,RN319236319240,319236,319240,,40
791,RN319243319261,319243,319261,,61
792,RN319264319265,319264,319265,,49
793,RN319268319270,319268,319270,,12
794,RN319305319306,319305,319306,,90
795,RN319307319308,319307,319308,,53
796,RN319309319310,319309,319310,,42
797,RN319311320001,319311,320001,,93
798,RN320002320003,320002,320003,,41
799,RN320004320005,320004,320005,,90
800,RN320006320007,320006,320007,,24
801,RN320008320009,320008,320009,,92
802,RN320010320011,320010,320011,,23
803,RN320012320013,320012,320013,,35
804,RN320014320015,320014,320015,,97
805,RN320016320017,320016,320017,,24
806,RN320018320019,320018,320019,,25
807,RN320020320021,320020,320021,,2
808,RN320022320023,320022,320023,,81
809,RN320025320026,320025,320026,,30
810,RN320027320028,320027,320028,,100
811,RN320029320030,320029,320030,,29
812,RN320031320032,320031,320032,,87
813,RN320033320034,320033,320034,,43
814,RN320035320036,320035,320036,,75
815,RN320037320038,320037,320038,,26
816,RN320039320040,320039,320040,,38
817,RN320041320042,320041,320042,,4
818,RN320043320044,320043,320044,,92
819,RN320046320047,320046,320047,,89
820,RN320048320049,320048,320049,,5
821,RN320050320051,320050,320051,,2
822,RN320052320053,320052,320053,,96
823,RN320054320055,320054,320055,,100
824,RN320056320057,320056,320057,,22
825,RN320058320059,320058,320059,,27
826,RN320060320061,320060,320061,,84
827,RN320062320063,320062,320063,,73
828,RN320064320065,320064,320065,,45
829,RN320066320067,320066,320067,,30
830,RN320068320069,320068,320069,,64
831,RN320070320071,320070,320071,,65
832,RN320072320073,320072,320073,,68
833,RN320074320075,320074,320075,,48
834,RN320076320077,320076,320077,,21
835,RN320078320079,320078,320079,,30
836,RN320080320081,320080,320081,,24
837,RN320082320083,320082,320083,,100
838,RN320084320085,320084,320085,,91
839,RN320086320087,320086,320087,,98
840,RN320088320089,320088,320089,,20
841,RN320090320091,320090,320091,,31
842,RN320092320093,320092,320093,,20
843,RN320094320095,320094,320095,,14
844,RN320096320097,320096,320097,,6
845,RN320098320099,320098,320099,,48
846,RN320100320102,320100,320102,,75
847,RN320103320104,320103,320104,,77
848,RN320105320106,320105,320106,,77
849,RN320107320110,320107,320110,,30
850,RN320112320113,320112,320113,,27
851,RN320114320115,320114,320115,,59
852,RN320117320118,320117,320118,,61
853,RN320120320122,320120,320122,,32
854,RN320123320124,320123,320124,,30
855,RN320126320128,320126,320128,,14
856,RN320131320132,320131,320132,,89
857,RN320137320140,320137,320140,,32
858,RN320143320144,320143,320144,,1
859,RN320145320153,320145,320153,,61
860,RN320154320155,320154,320155,,80
861,RN320175320177,320175,320177,,32
862,RN320179320187,320179,320187,,86
863,RN320189320195,320189,320195,,35
864,RN320225339021,320225,339021,,46
865,RN339046339097,339046,339097,,79
866,RN358001358002,358001,358002,,25
867,RN358003358004,358003,358004,,21
868,RN358005358006,358005,358006,,15
869,RN358007358008,358007,358008,,91
870,RN358009358010,358009,358010,,51
871,RN358011358012,358011,358012,,34
872,RN358013358014,358013,358014,,22
873,RN358015358016,358015,358016,,33
874,RN358017358018,358017,358018,,26
875,RN358019358020,358019,358020,,84
876,RN358021358022,358021,358022,,5
877,RN358023358024,358023,358024,,87
878,RN358025358026,358025,358026,,47
879,RN358027358028,358027,358028,,86
880,RN358029358030,358029,358030,,39
881,RN358031358032,358031,358032,,91
882,RN358033358034,358033,358034,,39
883,RN358035358036,358035,358036,,18
884,RN358037358038,358037,358038,,63
885,RN358039358040,358039,358040,,80
886,RN358041358042,358041,358042,,41
887,RN358043358044,358043,358044,,64
888,RN358045358046,358045,358046,,4
889,RN358047358048,358047,358048,,90
890,RN358049358050,358049,358050,,21
891,RN358051358052,358051,358052,,97
892,RN358053358054,358053,358054,,42
893,RN358055358056,358055,358056,,76
894,RN358057358058,358057,358058,,81
895,RN358059358060,358059,358060,,91
896,RN358061358062,358061,358062,,54
897,RN358063358064,358063,358064,,62
898,RN358065358066,358065,358066,,92
899,RN358067358068,358067,358068,,21
900,RN358070358071,358070,358071,,61
901,RN358072358073,358072,358073,,10
902,RN358074358075,358074,358075,,1
903,RN358076358078,358076,358078,,60
904,RN358080358082,358080,358082,,19
905,RN358083358084,358083,358084,,54
906,RN358085358086,358085,358086,,16
907,RN358089358090,358089,358090,,55
908,RN358093358095,358093,358095,,79
909,RN358099358101,358099,358101,,34
910,RN358103358104,358103,358104,,69
911,RN358105358106,358105,358106,,93
912,RN358107358108,358107,358108,,2
913,RN358110358111,358110,358111,,40
914,RN358112358117,358112,358117,,84
915,RN358119358124,358119,358124,,93
916,RN358125358143,358125,358143,,41
917,RN358150358152,358150,358152,,29
918,RN358153358180,358153,358180,,9
919,RN209001209002,209001,209002,,84
920,RN209003209004,209003,209004,,96
921,RN209005209006,209005,209006,,53
922,RN209007209008,209007,209008,,39
923,RN209009209010,209009,209010,,41
924,RN209012209013,209012,209013,,42
925,RN209014209015,209014,209015,,23
926,RN209016209017,209016,209017,,21
927,RN209018209019,209018,209019,,25
928,RN209020209021,209020,209021,,23
929,RN209022209023,209022,209023,,87
930,RN209025209026,209025,209026,,41
931,RN209027209028,209027,209028,,1
932,RN209029209030,209029,209030,,95
933,RN209031209032,209031,209032,,95
934,RN209033209034,209033,209034,,95
935,RN209035209036,209035,209036,,17
936,RN209037209038,209037,209038,,2
937,RN209039209040,209039,209040,,71
938,RN209041209042,209041,209042,,98
939,RN209043209044,209043,209044,,52
940,RN209045209046,209045,209046,,69
941,RN209047209049,209047,209049,,26
942,RN209050209051,209050,209051,,42
943,RN209052209053,209052,209053,,67
944,RN209054209055,209054,209055,,31
945,RN209056209057,209056,209057,,94
946,RN209058209059,209058,209059,,47
947,RN209060209061,209060,209061,,47
948,RN209062209063,209062,209063,,52
949,RN209064209065,209064,209065,,21
950,RN209066209067,209066,209067,,44
951,RN209068209069,209068,209069,,39
952,RN209070209071,209070,209071,,17
953,RN209072209073,209072,209073,,89
954,RN209074209075,209074,209075,,81
955,RN209076209077,209076,209077,,96
956,RN209078209079,209078,209079,,11
957,RN209080209081,209080,209081,,18
958,RN209082209083,209082,209083,,45
959,RN209084209085,209084,209085,,86
960,RN209086209087,209086,209087,,35
961,RN209088209089,209088,209089,,36
962,RN209090209093,209090,209093,,7
963,RN209096209097,209096,209097,,22
964,RN209098209099,209098,209099,,24
965,RN209101209102,209101,209102,,48
966,RN209104209106,209104,209106,,66
967,RN209107209109,209107,209109,,58
968,RN221001221002,221001,221002,,7
969,RN221003221004,221003,221004,,43
970,RN221005221006,221005,221006,,95
971,RN221007221008,221007,221008,,6
972,RN221009221010,221009,221010,,12
973,RN221011221012,221011,221012,,55
974,RN221013221014,221013,221014,,75
975,RN221015221016,221015,221016,,34
976,RN221017221018,221017,221018,,91
977,RN221019221020,221019,221020,,28
978,RN221021221022,221021,221022,,14
979,RN221023221024,221023,221024,,1
980,RN221025221026,221025,221026,,100
981,RN221027221028,221027,221028,,16
982,RN221029221030,221029,221030,,23
983,RN221031221032,221031,221032,,9
984,RN221033221034,221033,221034,,47
985,RN221035221036,221035,221036,,23
986,RN221037221038,221037,221038,,83
987,RN221039221041,221039,221041,,100
988,RN221042221043,221042,221043,,82
989,RN221044221045,221044,221045,,55
990,RN221046221047,221046,221047,,52
991,RN221048221049,221048,221049,,91
992,RN221050221051,221050,221051,,76
993,RN221052221053,221052,221053,,4
994,RN221054221055,221054,221055,,15
995,RN221056221057,221056,221057,,64
996,RN221058221059,221058,221059,,78
997,RN221060221062,221060,221062,,14
998,RN221063221064,221063,221064,,85
999,RN221065221066,221065,221066,,79
1000,RN221067221068,221067,221068,,54
1001,RN221070221071,221070,221071,,23
1002,RN221072221073,221072,221073,,22
1003,RN221074221075,221074,221075,,14
1004,RN221076221077,221076,221077,,41
1005,RN221078221079,221078,221079,,64
1006,RN221080221081,221080,221081,,76
1007,RN221082221083,221082,221083,,17
1008,RN221084221085,221084,221085,,71
1009,RN221086221087,221086,221087,,22
1010,RN221088221089,221088,221089,,52
1011,RN221090221091,221090,221091,,98
1012,RN221092221093,221092,221093,,54
1013,RN221094221095,221094,221095,,48
1014,RN221096221099,221096,221099,,58
1015,RN221100221101,221100,221101,,14
1016,RN221112221113,221112,221113,,19
1017,RN221501234001,221501,234001,,15
1018,RN234008234013,234008,234013,,12
1019,RN234018234020,234018,234020,,65
1020,RN234023234025,234023,234025,,99
1021,RN234028234033,234028,234033,,51
1022,RN234035234039,234035,234039,,4
1023,RN234041234049,234041,234049,,33
1024,RNRep205Rep261,Rep205,Rep261,,63
1025,RNRep264Rep266,Rep264,Rep266,,22
1026,RN124043124044,124043,124044,,27
1027,RN124047124048,124047,124048,,92
1028,RN124049124050,124049,124050,,91
1029,RN124051124053,124051,124053,,9
1030,RN124054124055,124054,124055,,27
1031,RN124062124063,124062,124063,,40
1032,RN124064124065,124064,124065,,70
1033,RN124066124067,124066,124067,,65
1034,RN124068124069,124068,124069,,62
1035,RN124070124071,124070,124071,,96
1036,RN124074124077,124074,124077,,6
1037,RN124078124079,124078,124079,,15
1038,RN124082124088,124082,124088,,25
1039,RN124101124109,124101,124109,,38
1040,RN124122124125,124122,124125,,93
1041,RN124126124129,124126,124129,,2
1042,RN124133124135,124133,124135,,71
1043,RN124136124137,124136,124137,,40
1044,RN124142124144,124142,124144,,52
1045,RN124146124148,124146,124148,,7
1046,RN124149124150,124149,124150,,11
1047,RN124151124155,124151,124155,,29
1048,RN124165124166,124165,124166,,41
1049,RN124168124182,124168,124182,,28
1050,RN124183124206,124183,124206,,75
1051,RN124211124212,124211,124212,,6
1052,RN124215124216,124215,124216,,100
1053,RN124217124219,124217,124219,,80
1054,RN124223124227,124223,124227,,75
1055,RN124232124233,124232,124233,,21
1056,RN124235124240,124235,124240,,6
1057,RN124247124274,124247,124274,,67
1058,RN124277124278,124277,124278,,9
1059,RN124279124292,124279,124292,,12
1060,RN124293124294,124293,124294,,23
1061,RN124295124324,124295,124324,,69
1062,RN124327124335,124327,124335,,99
1063,RN124339124343,124339,124343,,14
1064,RN124346124348,124346,124348,,21
1065,RN124349124350,124349,124350,,35
1066,RN124353124355,124353,124355,,17
1067,RN124356124360,124356,124360,,30
1068,RN124381124384,124381,124384,,23
1069,RN124385124387,124385,124387,,53
1070,RN124406124407,124406,124407,,23
1071,RN124408124409,124408,124409,,8
1072,RN124410124411,124410,124411,,91
1073,RN124413124414,124413,124414,,35
1074,RN124422124425,124422,124425,,51
1075,RN124442124443,124442,124443,,26
1076,RN124457124461,124457,124461,,51
1077,RN124462124466,124462,124466,,51
1078,RN124470124482,124470,124482,,95
1079,RN124504124516,124504,124516,,60
1080,RN124650124697,124650,124697,,53
1081,RN124699124705,124699,124705,,74
1082,RN124710124711,124710,124711,,14
1083,RN124713124722,124713,124722,,80
1084,RN124735124737,124735,124737,,21
1085,RN124738124740,124738,124740,,40
1086,RN124763124775,124763,124775,,99
1087,RN124778124781,124778,124781,,92
1088,RN124782124783,124782,124783,,7
1089,RN124799124804,124799,124804,,94
1090,RN124808124813,124808,124813,,59
1091,RN124831124832,124831,124832,,4
1092,RN124833124835,124833,124835,,51
1093,RN124836124837,124836,124837,,80
1094,RN124838124839,124838,124839,,42
1095,RN124840124841,124840,124841,,10
1096,RN124842124843,124842,124843,,55
1097,RN124844124845,124844,124845,,51
1098,RN124847124876,124847,124876,,26
1099,RN124877124879,124877,124879,,47
1100,RN124880124882,124880,124882,,9
1101,RN124910124924,124910,124924,,57
1102,RN124931124933,124931,124933,,76
1103,RN124956124960,124956,124960,,70
1104,RN124964125037,124964,125037,,97
1105,RN424006124007,424006,124007,,69
1106,RN124017124153,124017,124153,,44
1107,RN124171124179,124171,124179,,22
1108,RN124193124283,124193,124283,,87
1109,RN124305124309,124305,124309,,49
1110,RN124312124380,124312,124380,,92
1111,RN124665124674,124665,124674,,81
1112,RN124678124690,124678,124690,,46
1113,RN124727124730,124727,124730,,41
1114,RN124780124795,124780,124795,,59
1115,RN124797124798,124797,124798,,64
1116,RN124925124926,124925,124926,,57
1117,RN424112124008,424112,124008,,64
1118,RN124009124015,124009,124015,,73
1119,RN124016124018,124016,124018,,10
1120,RN124026124027,124026,124027,,5
1121,RN124028124052,124028,124052,,95
1122,RN124075124096,124075,124096,,24
1123,RN124097124099,124097,124099,,69
1124,RN124104124110,124104,124110,,72
1125,RN124112124124,124112,124124,,8
1126,RN124127124130,124127,124130,,99
1127,RN124131124145,124131,124145,,22
1128,RN124152124176,124152,124176,,55
1129,RN124229124238,124229,124238,,74
1130,RN124246124261,124246,124261,,35
1131,RN124264124270,124264,124270,,52
1132,RN124275124280,124275,124280,,52
1133,RN124281124282,124281,124282,,14
1134,RN124313124344,124313,124344,,65
1135,RN124345124358,124345,124358,,26
1136,RN124364124386,124364,124386,,61
1137,RN124412124418,124412,124418,,44
1138,RN124454124506,124454,124506,,23
1139,RN124509124515,124509,124515,,15
1140,RN124518124676,124518,124676,,93
1141,RN124681124683,124681,124683,,46
1142,RN124701124718,124701,124718,,13
1143,RN124719124720,124719,124720,,31
1144,RN124724124726,124724,124726,,99
1145,RN124736124747,124736,124747,,60
1146,RN124752124753,124752,124753,,49
1147,RN124761124764,124761,124764,,18
1148,RN124765124774,124765,124774,,14
1149,RN124776124779,124776,124779,,47
1150,RN124785124786,124785,124786,,3
1151,RN124788124794,124788,124794,,47
1152,RN124801124803,124801,124803,,49
1153,RN124806124807,124806,124807,,84
1154,RN124814124816,124814,124816,,76
1155,RN124820124822,124820,124822,,56
1156,RN124824124825,124824,124825,,10
1157,RN124826124827,124826,124827,,31
1158,RN124828124848,124828,124848,,86
1159,RN124850124856,124850,124856,,55
1160,RN124858124873,124858,124873,,9
1161,RN124874124900,124874,124900,,50
1162,RN124903124904,124903,124904,,23
1163,RN124905124906,124905,124906,,70
1164,RN124915125003,124915,125003,,72
1165,RN125006125007,125006,125007,,47
1166,RN125009125011,125009,125011,,60
1167,RN125012125017,125012,125017,,35
1168,RN125018125019,125018,125019,,92
1169,RN125020125021,125020,125021,,5
1170,RN125029125030,125029,125030,,56
1171,RN125032125034,125032,125034,,43
1172,RN125035125038,125035,125038,,53
1173,RN125047125048,125047,125048,,8
1174,RN125052125053,125052,125053,,5
1175,RN125058125060,125058,125060,,65
1176,RN125075125076,125075,125076,,87
1177,RN125079125081,125079,125081,,7
1178,RN125082125084,125082,125084,,19
1179,RN125090125095,125090,125095,,5
1180,RN125097125110,125097,125110,,49
1181,RN125122125124,125122,125124,,27
1182,RN125125125126,125125,125126,,12
1183,RN125128125132,125128,125132,,84
1184,RN125144125149,125144,125149,,48
1185,RN125151125152,125151,125152,,50
1186,RN125153424054,125153,424054,,68
1187,RNHOALACMSC/VNP/HN,HOALAC,MSC/VNP/HN,,8
1188,RN106038124002,106038,124002,,21
1189,RN124003124004,124003,124004,,91
1190,RN124005124006,124005,124006,,28
1191,RN124011124012,124011,124012,,30
1192,RN124013124014,124013,124014,,33
1193,RN124019124020,124019,124020,,54
1194,RN124021124023,124021,124023,,93
1195,RN124024124033,124024,124033,,92
1196,RN124041124042,124041,124042,,47
1197,RN124045124046,124045,124046,,39
1198,RN124056124057,124056,124057,,62
1199,RN124059124060,124059,124060,,88
1200,RN124061124072,124061,124072,,59
1201,RN124076124080,124076,124080,,6
1202,RN124081124083,124081,124083,,79
1203,RN124090124092,124090,124092,,18
1204,RN124093124095,124093,124095,,47
1205,RN124100124107,124100,124107,,60
1206,RN124108124113,124108,124113,,39
1207,RN124115124116,124115,124116,,37
1208,RN124117124118,124117,124118,,13
1209,RN124120124121,124120,124121,,5
1210,RN124123124132,124123,124132,,4
1211,RN124140124141,124140,124141,,99
1212,RN124147124156,124147,124156,,63
1213,RN124162124163,124162,124163,,1
1214,RN124167124169,124167,124169,,77
1215,RN124170124174,124170,124174,,17
1216,RN124189124194,124189,124194,,64
1217,RN124195124198,124195,124198,,96
1218,RN124199124200,124199,124200,,53
1219,RN124202124204,124202,124204,,89
1220,RN124218124225,124218,124225,,1
1221,RN124234124237,124234,124237,,81
1222,RN124239124243,124239,124243,,91
1223,RN124245124253,124245,124253,,7
1224,RN124256124257,124256,124257,,22
1225,RN124258124262,124258,124262,,13
1226,RN124266124267,124266,124267,,50
1227,RN124268124269,124268,124269,,28
1228,RN124271124272,124271,124272,,19
1229,RN124273124289,124273,124289,,71
1230,RN124296124297,124296,124297,,83
1231,RN124300124303,124300,124303,,26
1232,RN124310124314,124310,124314,,76
1233,RN124315124319,124315,124319,,6
1234,RN124325124341,124325,124341,,41
1235,RN124372124376,124372,124376,,75
1236,RN124394124395,124394,124395,,59
1237,RN124399124401,124399,124401,,20
1238,RN124403124423,124403,124423,,19
1239,RN124438124447,124438,124447,,87
1240,RN124448124455,124448,124455,,99
1241,RN124456124459,124456,124459,,30
1242,RN124460124471,124460,124471,,96
1243,RN124472124505,124472,124505,,82
1244,RN124507124513,124507,124513,,9
1245,RN124514124669,124514,124669,,68
1246,RN124670124671,124670,124671,,91
1247,RN124677124680,124677,124680,,6
1248,RN124686124691,124686,124691,,5
1249,RN124692124693,124692,124693,,18
1250,RN124702124703,124702,124703,,46
1251,RN124704124706,124704,124706,,84
1252,RN124709124715,124709,124715,,16
1253,RN124717124721,124717,124721,,26
1254,RN124725124746,124725,124746,,3
1255,RN124755124759,124755,124759,,34
1256,RN124760124766,124760,124766,,87
1257,RN124768124769,124768,124769,,93
1258,RN124770124771,124770,124771,,29
1259,RN124772124796,124772,124796,,83
1260,RN124829124834,124829,124834,,11
1261,RN124909124927,124909,124927,,89
1262,RN124932124942,124932,124942,,3
1263,RN124944124946,124944,124946,,77
1264,RN124957124958,124957,124958,,71
1265,RNMSC/VTL/HN124664,MSC/VTL/HN,124664,,1
1266,RN124025124030,124025,124030,,70
1267,RN124031124032,124031,124032,,59
1268,RN124034124035,124034,124035,,9
1269,RN124036124037,124036,124037,,43
1270,RN124038124039,124038,124039,,27
1271,RN124040124084,124040,124084,,34
1272,RN124086124087,124086,124087,,49
1273,RN124102124103,124102,124103,,52
1274,RN124106124154,124106,124154,,50
1275,RN124175124180,124175,124180,,3
1276,RN124181124185,124181,124185,,36
1277,RN124188124190,124188,124190,,78
1278,RN124207124213,124207,124213,,16
1279,RN124224124226,124224,124226,,55
1280,RN124230124231,124230,124231,,23
1281,RN124244124252,124244,124252,,47
1282,RN124259124285,124259,124285,,10
1283,RN124286124288,124286,124288,,47
1284,RN124302124323,124302,124323,,51
1285,RN124326124328,124326,124328,,68
1286,RN124330124331,124330,124331,,52
1287,RN124334124362,124334,124362,,93
1288,RN124368124377,124368,124377,,10
1289,RN124379124396,124379,124396,,73
1290,RN124436124444,124436,124444,,49
1291,RN124452124467,124452,124467,,18
1292,RN124469124503,124469,124503,,41
1293,RN124508124520,124508,124520,,33
1294,RN124667124668,124667,124668,,40
1295,RN124685124687,124685,124687,,34
1296,RN124689124694,124689,124694,,90
1297,RN124716124728,124716,124728,,39
1298,RN124731124732,124731,124732,,97
1299,RN124733124739,124733,124739,,72
1300,RN124741124742,124741,124742,,2
1301,RN124743124744,124743,124744,,27
1302,RN124745124748,124745,124748,,33
1303,RN124749124751,124749,124751,,66
1304,RN124754124773,124754,124773,,22
1305,RN124777124784,124777,124784,,88
1306,RN124791124792,124791,124792,,49
1307,RN124793124800,124793,124800,,27
1308,RN124805124809,124805,124809,,94
1309,RN124810124811,124810,124811,,63
1310,RN124812124851,124812,124851,,58
1311,RN124855124860,124855,124860,,3
1312,RN124866124869,124866,124869,,12
1313,RN124887124888,124887,124888,,82
1314,RN124889124890,124889,124890,,23
1315,RN124891124894,124891,124894,,25
1316,RN124898124914,124898,124914,,58
1317,RN124916124918,124916,124918,,63
1318,RN124920124921,124920,124921,,56
1319,RN124922124923,124922,124923,,85
1320,RN124941124945,124941,124945,,61
1321,RN124952124969,124952,124969,,16
1322,RN124970125001,124970,125001,,73
1323,RN125002125004,125002,125004,,18
1324,RN125005125008,125005,125008,,75
1325,RN125010125013,125010,125013,,87
1326,RN125014125015,125014,125015,,15
1327,RN125016125023,125016,125023,,76
1328,RN125024125025,125024,125025,,92
1329,RN125026125027,125026,125027,,10
1330,RN125033125039,125033,125039,,4
1331,RN125041125042,125041,125042,,4
1332,RN125043125049,125043,125049,,28
1333,RN125050125056,125050,125056,,52
1334,RN125057125063,125057,125063,,63
1335,RN125065125066,125065,125066,,68
1336,RN125067125071,125067,125071,,62
1337,RN125073125074,125073,125074,,67
1338,RN125080125086,125080,125086,,29
1339,RN125087125088,125087,125088,,58
1340,RN125091125093,125091,125093,,98
1341,RN125094125096,125094,125096,,80
1342,RN125098125104,125098,125104,,70
1343,RN125105125109,125105,125109,,82
1344,RN125112125121,125112,125121,,35
1345,RN125129125133,125129,125133,,77
1346,RN125134125136,125134,125136,,16
1347,RN125137125140,125137,125140,,47
1348,RN125142125143,125142,125143,,66
1349,RN125150125154,125150,125154,,93
1350,RN125155MSC/VMS/HN,125155,MSC/VMS/HN,,68
1351,RN124214124762,124214,124762,,8
1352,RN124311124789,124311,124789,,26
1353,RN124022124322,124022,124322,,91
1354,RN124029125092,124029,125092,,12
1355,RN124675124729,124675,124729,,97
1356,RN124712124708,124712,124708,,4
1357,RN124337125108,124337,125108,,97
1358,RN124197124734,124197,124734,,43
1359,RN124450124972,124450,124972,,76
1360,RN124134124119,124134,124119,,6
1361,RN124849124707,124849,124707,,22
1362,RN124347124984,124347,124984,,7
1363,RN124990124983,124990,124983,,93
1364,RN124790124512,124790,124512,,6
1365,RN124688125156,124688,125156,,12
1366,RN125157125062,125157,125062,,53
1367,RN226001226002,226001,226002,,42
1368,RN226003226004,226003,226004,,89
1369,RN226005226006,226005,226006,,72
1370,RN226007226008226009,226007,226008,226009,62
1371,RN226011226012226010,226011,226012,226010,87
1372,RN226013226014,226013,226014,,81
1373,RN226015226016,226015,226016,,73
1374,RN226017226018,226017,226018,,88
1375,RN226021226022,226021,226022,,87
1376,RN226025226027,226025,226027,,7
1377,RN226028226030,226028,226030,,83
1378,RN226033226034,226033,226034,,77
1379,RN226036226037,226036,226037,,32
1380,RN226038226039,226038,226039,,83
1381,RN226040226041,226040,226041,,29
1382,RN226042226043,226042,226043,,0
1383,RN226044226046,226044,226046,,1
1384,RN226047226048,226047,226048,,89
1385,RN226050226051,226050,226051,,88
1386,RN226052226053,226052,226053,,56
1387,RN226057226058,226057,226058,,70
1388,RN226059226060,226059,226060,,22
1389,RN226062226063,226062,226063,,38
1390,RN226064226065,226064,226065,,42
1391,RN226066226067,226066,226067,,50
1392,RN226068226069,226068,226069,,60
1393,RN226070226076,226070,226076,,69
1394,RN226079226080,226079,226080,,62
1395,RN226081226082,226081,226082,,15
1396,RNRep006127001,Rep006,127001,,41
1397,RN127002127003,127002,127003,,67
1398,RN127004127005,127004,127005,,51
1399,RN127006127007,127006,127007,,90
1400,RN127008127009,127008,127009,,28
1401,RN127010127012,127010,127012,,49
1402,RN127013127014,127013,127014,,82
1403,RN127015127016,127015,127016,,17
1404,RN127017127018,127017,127018,,27
1405,RN127019127020,127019,127020,,67
1406,RN127021127022,127021,127022,,17
1407,RN127023127024,127023,127024,,83
1408,RN127025127026,127025,127026,,24
1409,RN127027127029,127027,127029,,29
1410,RN127030127031,127030,127031,,40
1411,RN127032127033,127032,127033,,42
1412,RN127034127035,127034,127035,,8
1413,RN127037127038,127037,127038,,58
1414,RN127039127040,127039,127040,,73
1415,RN127041127042,127041,127042,,52
1416,RN127043127044,127043,127044,,55
1417,RN127046127047,127046,127047,,57
1418,RN127049127051,127049,127051,,0
1419,RN127052127053,127052,127053,,27
1420,RN127055127056,127055,127056,,40
1421,RN127057127058,127057,127058,,26
1422,RN127059127061,127059,127061,,35
1423,RN127063127064,127063,127064,,25
1424,RN127065127066,127065,127066,,65
1425,RN127067127069,127067,127069,,48
1426,RN127070127072,127070,127072,,84
1427,RN127073127074,127073,127074,,55
1428,RN127076127077,127076,127077,,50
1429,RN127078127079,127078,127079,,52
1430,RN127091127092,127091,127092,,5
1431,RN127093127094,127093,127094,,64
1432,RN127095127097,127095,127097,,22
1433,RN127098127099,127098,127099,,62
1434,RN127100127101,127100,127101,,23
1435,RN127102127103,127102,127103,,5
1436,RN127106127107,127106,127107,,70
1437,RN127110127111,127110,127111,,22
1438,RN127113127114,127113,127114,,97
1439,RN127115127120,127115,127120,,53
1440,RN127121127122,127121,127122,,47
1441,RN127123127124,127123,127124,,98
1442,RN127126127127,127126,127127,,50
1443,RN127128127129,127128,127129,,60
1444,RN127130127131,127130,127131,,82
1445,RN127133127137,127133,127137,,97
1446,RN127141127142,127141,127142,,6
1447,RN127143127144,127143,127144,,6
1448,RN127152127153,127152,127153,,64
1449,RN127154127501,127154,127501,,28
1450,RN127502127503,127502,127503,,37
1451,RN127504127505,127504,127505,,76
1452,RN127506127510,127506,127510,,60
1453,RN127512127513,127512,127513,,51
1454,RN127145127104,127145,127104,,11
1455,RN128001128002,128001,128002,,48
1456,RN128003128004,128003,128004,,94
1457,RN128005128007,128005,128007,,90
1458,RN128008128009,128008,128009,,37
1459,RN128010128011,128010,128011,,45
1460,RN128012128013,128012,128013,,33
1461,RN128014128015,128014,128015,,38
1462,RN128016128017,128016,128017,,17
1463,RN128018128019,128018,128019,,92
1464,RN128020128021,128020,128021,,53
1465,RN128022128023,128022,128023,,89
1466,RN128024128025,128024,128025,,9
1467,RN128026128029,128026,128029,,97
1468,RN128030128031,128030,128031,,96
1469,RN128032128033,128032,128033,,51
1470,RN128034128035,128034,128035,,94
1471,RN128036128037,128036,128037,,62
1472,RN128039128040,128039,128040,,38
1473,RN128041128042,128041,128042,,53
1474,RN128043128044,128043,128044,,10
1475,RN128045128046,128045,128046,,68
1476,RN128048128052,128048,128052,,81
1477,RN128053128054,128053,128054,,65
1478,RN128055128056,128055,128056,,5
1479,RN128057128058,128057,128058,,51
1480,RN128060128061,128060,128061,,33
1481,RN128062128063,128062,128063,,41
1482,RN128064128065,128064,128065,,39
1483,RN128066128068,128066,128068,,92
1484,RN128069128070,128069,128070,,66
1485,RN128071128072,128071,128072,,22
1486,RN128073128074,128073,128074,,39
1487,RN128075128076,128075,128076,,1
1488,RN128077128078,128077,128078,,84
1489,RN128079128081,128079,128081,,52
1490,RN128082128083,128082,128083,,40
1491,RN128084128086,128084,128086,,70
1492,RN128087128088,128087,128088,,98
1493,RN128089128090,128089,128090,,80
1494,RN128091128093,128091,128093,,72
1495,RN128094128095,128094,128095,,99
1496,RN128096128097,128096,128097,,0
1497,RN128098128099,128098,128099,,36
1498,RN128100128101,128100,128101,,74
1499,RN128102128111,128102,128111,,29
1500,RN128113128114,128113,128114,,56
1501,RN128115128116,128115,128116,,8
1502,RN128117128118,128117,128118,,63
1503,RN128119128120,128119,128120,,11
1504,RN128121128125,128121,128125,,76
1505,RN128126128127,128126,128127,,52
1506,RN128128128129,128128,128129,,5
1507,RN128130128131,128130,128131,,45
1508,RN128132128133,128132,128133,,74
1509,RN128134128136,128134,128136,,11
1510,RN128137128138,128137,128138,,21
1511,RN128141128143,128141,128143,,60
1512,RN128145128146,128145,128146,,30
1513,RN128151128154,128151,128154,,25
1514,RN128156128157,128156,128157,,19
